Title,Authors,Book Type,Original Price,Discounted Price,ISBN-10,Published Date,Publisher,No. of Pages,URL
The Screwtape Letters: Letters From A Senior To A Junior Devil,C. S. Lewis,Paperback,19.99,18.25,"9780007461240
",1 July 2012,14 - 18 years old,224 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780007461240.html
Blood Meridian,Cormac McCarthy,eBook,,,"9780307762528
",11 August 2010,,,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780307762528.html
Star Trek,Diane Duane,eBook,,5.99,"9780743422277
",3 December 2001,,256 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780743422277.html
Familiar Stranger,Stuart Hall,eBook,,15.99,"9780241290002
",6 April 2017,,256 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780241290002.html
,,,,,"9780061763403
",,,,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780061763403.html
Across the Seas,Griff Hosker,eBook,,9.19,"9780463983096
",4 March 2019,,ePUB,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780463983096.html
American Royals,Katharine McGee,eBook,,9.99,"9780241365984
",1 September 2019,,368 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780241365984.html
Battle of Okinawa,George Feifer,eBook,,,"9781322117171
",1 January 2001,,,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9781322117171.html
Homage to Catalonia,George Orwell,eBook,,15.99,"9780141911717
",5 June 2003,,272 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780141911717.html
The Twits,Roald Dahl,eBook,,9.99,"9780141930169
",6 September 2007,,112 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780141930169.html
"Red, White & Royal Blue",Casey McQuiston,eBook,,,"9781250316783
",14 May 2019,,,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9781250316783.html
The Great Hunt,Robert Jordan,eBook,,11.99,"9780748115358
",17 November 2009,"Little, Brown Book Group",736 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780748115358.html
Magnus Chase and the Sword of Summer (Book 1),Rick Riordan,eBook,,9.99,"9780141342436
",6 October 2015,9 - 12 years old,528 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780141342436.html
Boy,Roald Dahl,eBook,,9.99,"9780141903125
",4 September 2008,,192 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780141903125.html
Angels,Marian Keyes,eBook,,15.99,"9780141928685
",31 March 2005,,496 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780141928685.html
The Lost (Paula Maguire 1),Claire McGowan,eBook,,11.99,"9780755386390
",11 April 2013,Headline,305 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780755386390.html
,,,,,"9780230739673
",,,,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780230739673.html
Anxiety,Joshua Fletcher,eBook,,9.38,"9781310517228
",22 March 2016,,ePUB,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9781310517228.html
George Washington's Secret Six,Brian Kilmeade,eBook,22.29,17.99,"9780698137653
",Edition Number 1,,288 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780698137653.html
Driving Over Lemons,Chris Stewart,eBook,,,"9780956308641
",8 August 2011,,,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780956308641.html
Jamie's Food Tube,Gennaro Contaldo,eBook,,14.99,"9781405921107
",2 July 2015,,128 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9781405921107.html
The Name of the Wind,Patrick Rothfuss,eBook,,12.99,"9780575087057
",22 April 2010,Orion,672 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780575087057.html
